Year,Cathode,Lithium,Nickel,Cobalt,Manganese,Aluminum,Copper,Graphite
2040,NMC622,0.118307478,0.53090395,0.177631123,0.165604173,3.01739381,0.604794799,0.959936102
2010,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2011,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2012,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2013,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2014,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2015,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2016,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2017,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2018,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2019,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2020,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2021,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2022,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2023,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2024,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2025,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2026,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2027,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2028,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2029,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2030,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2031,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2032,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2033,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2034,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2035,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2036,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2037,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2038,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2039,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2040,NMC811,0.100453245,0.599759028,0.075250808,0.070155768,2.92070388,0.549204792,0.960687866
2010,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2011,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2012,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2013,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2014,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2015,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2016,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2017,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2018,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2019,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2020,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2021,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2022,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2023,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2024,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2025,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2026,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2027,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2028,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2029,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2030,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2031,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2032,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2033,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2034,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2035,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2036,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2037,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2038,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2039,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2040,NCA,0.101932358,0.672360264,0.126539954,0,2.919836717,0.563954194,0.977821571
2010,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2011,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2012,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2013,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2014,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2015,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2016,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2017,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2018,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
